fecha,cliente,ingreso,tc,dolares,destino,concepto,observaciones
22/08/2025,Gasto Bóveda Monte,189000,0,0,Profit,,corporativo-boveda valle
22/08/2025,Gasto Bóveda Monte,136000,0,0,Profit,,corporativo-boveda valle
25/08/2025,Gasto Bóveda Monte,350000,0,0,Profit,,corporativo-boveda valle
25/08/2025,Gasto Bóveda Monte,50000,0,0,Profit,,corporativo-boveda valle
26/08/2025,Gasto Bóveda Monte,400000,0,0,Profit,,corporativo-boveda valle
29/08/2025,Gasto Bóveda Monte,198000,0,0,Profit,,corporativo-boveda valle
04/09/2025,Abono,60000,0,0,Profit,,A68155635A
04/09/2025,Gasto Bóveda Monte,500000,0,0,Profit,,corporativo-boveda valle
04/09/2025,Gasto Bóveda Monte,260000,0,0,Profit,,corporativo-boveda valle
05/09/2025,Gasto Bóveda Monte,210000,0,0,Profit,,corporativo-boveda valle (servicio a/x)
08/09/2025,Abono,330000,0,0,Profit,,G46552985A
08/09/2025,Abono,20000,0,0,Profit,,NOTA
08/09/2025,Gasto Bóveda Monte,266280,0,0,Profit,,dany1 corporativo servicio a/x
09/09/2025,Gasto Bóveda Usa,151680,0,0,Profit,,"papel tocallo mc (entregue 144,880) servicio"
09/09/2025,Abono,390000,0,0,Profit,,"transferencia manolo1 pesos (20,000 tc 18.50)"
10/09/2025,Gasto Flete Sur,22000,0,0,Profit,,flete tocallo 500x44
11/09/2025,Gasto Bóveda Monte,250000,0,0,Profit,,corporativo- boveda valle
11/09/2025,Abono,33000,0,0,Profit,,G67435842A planta
11/09/2025,Abono,190630,0,0,Profit,,amigo playa #50 monte
15/09/2025,Gasto Bóveda Monte,550000,0,0,Profit,,corporativo-boveda valle
17/09/2025,Gasto Bóveda Monte,100000,0,0,Profit,,corporativo-boveda valle
17/09/2025,Gasto Bóveda Monte,189000,0,0,Profit,,corporativo-boveda valle
17/09/2025,Abono,150000,0,0,Profit,,D87329810F
18/09/2025,Gasto Bóveda Monte,30000,0,0,Profit,,corporativo-boveda valle
18/09/2025,Gasto Bóveda Monte,55000,0,0,Profit,,corporativo-boveda valle
19/09/2025,Abono,100000,0,0,Profit,,sra karla-rojo  894753
19/09/2025,Abono,165000,0,0,Profit,,sra letty 
19/09/2025,Abono,1000000,0,0,Profit,,sra karla-sra letty ✅
23/09/2025,Abono,275184,0,0,Profit,,corporativo- servicio a/x
24/09/2025,Abono,490000,0,0,Profit,,"transferencia manolo1 pesos (30,000 tc 18.30)"
24/09/2025,Abono,50000,0,0,Profit,,"transferencia manolo1 pesos (30,000 tc 18.30)"
25/09/2025,Abono,100000,0,0,Profit,,G 62649439 A
26/09/2025,Abono,100000,0,0,Profit,,sra karla-rojo  074296
30/09/2025,Gasto Bóveda Monte,140000,0,0,Profit,,corporativo-boveda valle
02/10/2025,Abono,100000,0,0,Profit,,D90614655B  h
04/10/2025,Abono,15000,0,0,Profit,,H56824927B  h
06/10/2025,Gasto Bóveda Monte,250000,0,0,Profit,,corporativo-boveda valle✅
08/10/2025,Abono,66974,0,0,Profit,,sevicio cliente a/x
09/10/2025,Abono,295000,0,0,Profit,,servicio cliente a/x
09/10/2025,Gasto Bóveda Monte,500000,0,0,Profit,,corporativo-boveda valle
09/10/2025,Abono,30000,0,0,Profit,,"transferencia manolo1 pesos (40,000 tc18.20)"
09/10/2025,Abono,100000,0,0,Profit,,"transferencia manolo1 pesos (40,000 tc18.20)"
09/10/2025,Abono,305000,0,0,Profit,,"transferencia manolo1 pesos (40,000 tc18.20)"
09/10/2025,Abono,20000,0,0,Profit,,"transferencia manolo1 pesos (40,000 tc18.20)"
09/10/2025,Abono,400000,0,0,Profit,,sra karla-sra letty k64279552A
11/10/2025,Abono,55000,0,0,Profit,,L13436421B.  h
13/10/2025,Gasto Bóveda Monte,300000,0,0,Profit,,corporativo-boveda valle
13/10/2025,Abono,1500000,0,0,Profit,,sra lety-dany1 rojo R7378331 PESOS
14/10/2025,Abono,200000,0,0,Profit,,"transferencia manolo1 pesos (40,000 tc18.20)"
15/10/2025,Abono,180000,0,0,Profit,,D09957831A. h
15/10/2025,Gasto Bóveda Monte,260000,0,0,Profit,,corporativo-boveda valle
16/10/2025,Gasto Bóveda Monte,250000,0,0,Profit,,corporativo-boveda valle
16/10/2025,Abono,15000,0,0,Profit,,F62907587D. h
17/10/2025,Gasto Bóveda Monte,220000,0,0,Profit,, corporativo- valle #40 pacman
20/10/2025,Gasto Bóveda Monte,15000,0,0,Profit,,corporativo-boveda valle
