### ÓRDENES DE COMPRA ###
OC,Fecha,Origen,Cantidad,Costo Distribuidor,Costo Transporte,Costo Por Unidad,Stock Actual,Costo Total,Pago a Distribuidor,Deuda
OC0001,2025-08-25,Q-MAYA,423,6100,200,6300,0,2664900,0,2664900
OC0002,2025-08-25,Q-MAYA,32,6100,200,6300,0,201600,0,201600
OC0003,2025-08-25,A/X🌶️🦀,33,6100,200,6300,0,207900,0,207900
OC0004,2025-08-30,PACMAN,487,6100,200,6300,0,3068100,0,3068100
OC0005,2025-09-06,Q-MAYA,513,6100,200,6300,0,3231900,0,3231900
OC0006,2025-09-09,CH-MONTE,100,6300,0,6300,0,630000,953100,-323100
OC0007,2025-09-29,VALLE-MONTE,20,7000,0,7000,0,140000,0,140000
OC0008,2025-10-05,PACMAN,488,6100,200,6300,0,3074400,0,3074400
OC0009,2025-10-05,Q-MAYA-MP,200,6100,200,6300,0,1260000,0,1260000

### RESUMEN DISTRIBUIDORES ###
Distribuidores,Costo total,Abonos,Pendiente
PACMAN,6142500,,
Q-MAYA,6098400,,
